flow_developer_name,flow_id,version_number,process_type,touchpoint_type,touchpoint_name,touchpoint_detail,external_candidate
Product_Request_Flow,301Px00000SwbSHIAZ,5,Flow,Action:submit,submit,submit [Submit to Product Team],False
Reject_Opp,3018e0000008d1RAAQ,2,AutoLaunchedFlow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Approve Opp],True
Reject_Opp,3018e0000008d1RAAQ,2,AutoLaunchedFlow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Copy 1 of Approve Opp],True
Reject_Opp,3018e0000008d1RAAQ,2,AutoLaunchedFlow,Action:customNotificationAction,customNotificationAction,customNotificationAction [Copy 1 of Copy 1 of Send Rejection notification],False
Reject_Opp,3018e0000008d1RAAQ,2,AutoLaunchedFlow,Action:customNotificationAction,customNotificationAction,customNotificationAction [Copy 1 of Send Rejection notification],False
Reject_Opp,3018e0000008d1RAAQ,2,AutoLaunchedFlow,Action:customNotificationAction,customNotificationAction,customNotificationAction [Send Rejection notification],False
Sales_Invoice_Order_Checker,301Px00000O2a9iIAB,2,AutoLaunchedFlow,Action:chatterPost,chatterPost,chatterPost [Post to Issues to Chatter Sales Order],False
Sales_Order_MACD_Update,301Px00000SwyyFIAR,21,Flow,Subflow,Capture_Meters_Screen,Capture_Meters_Screen,False
Sales_Order_MACD_Update,301Px00000SwyyFIAR,21,Flow,Subflow,Capture_Meters_Screen,Capture_Meters_Screen,False
Sales_Order_MACD_Update,301Px00000SwyyFIAR,21,Flow,Subflow,Capture_Meters_Screen,Capture_Meters_Screen,False
Sales_Order_MACD_Update,301Px00000SwyyFIAR,21,Flow,Subflow,Update_Asset_after_MACD_Creation,Update_Asset_after_MACD_Creation,False
Sales_Order_MACD_Update,301Px00000SwyyFIAR,21,Flow,Subflow,Update_Asset_after_MACD_Creation,Update_Asset_after_MACD_Creation,False
Sales_Order_MACD_Update,301Px00000SwyyFIAR,21,Flow,Subflow,Update_Asset_after_MACD_Creation,Update_Asset_after_MACD_Creation,False
Sales_Order_MACD_Update,301Px00000SwyyFIAR,21,Flow,Subflow,Opportunity_Asset_MACD_Generator3,Opportunity_Asset_MACD_Generator3,False
Sales_Order_MACD_Update,301Px00000SwyyFIAR,21,Flow,Subflow,Opportunity_Asset_MACD_Generator3,Opportunity_Asset_MACD_Generator3,False
SM_Account_Supplier_Site_PB,301Ae00000nXACUIA4,4,AutoLaunchedFlow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Update Supplier Site],True
SM_Account_Supplier_Site_PB,301Ae00000nXACUIA4,4,AutoLaunchedFlow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [Update Vendor Contact],True
Submit_deal_for_approval,3018e0000008XwIAAU,1,AutoLaunchedFlow,Action:submit,submit,submit [Submit for Approval],False
Tax_Code,3014K000000UyXJQA0,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Sych],True
Tax_Rate_Synchronisation,3014K000000UyXKQA0,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Synch],True
Technical_Evaluation,301Px00000MeDUvIAN,11,Flow,Action:apex,ResolveApprovalRequest,ResolveApprovalRequest [Recall Approval Action],True
Technical_Evaluation,301Px00000MeDUvIAN,11,Flow,Action:submit,submit,submit [Submit for Technical Approval],False
Technical_Evaluation,301Px00000MeDUvIAN,11,Flow,Subflow,Reject_Opp,Reject_Opp,False
TEST_OUTBOUND_ACTION,3018e000000CgwXAAS,1,AutoLaunchedFlow,Action:outboundMessage,SCMC__Sales_Order__c.TEST,SCMC__Sales_Order__c.TEST [TEST Trigger],False
Update_Commission_Opp_Product,301Px00000Ckj85IAB,4,AutoLaunchedFlow,Subflow,Commission_Assign_Plan,Commission_Assign_Plan,False
Update_Commission_Opp_Split,301Px00000CY6nIIAT,4,AutoLaunchedFlow,Subflow,Commission_Assign_Plan,Commission_Assign_Plan,False
Update_Commission_Opportunity,301Px00000PtHTNIA3,5,AutoLaunchedFlow,Subflow,Commission_Assign_Plan,Commission_Assign_Plan,False
Update_Commission_Other_Transactions_Schedule,3018e0000008a9IAAQ,2,AutoLaunchedFlow,Subflow,Commission_Other_Transactions,Commission_Other_Transactions,False
UpdateCompanyTaxInformation,3014K000000UyXLQA0,1,Workflow,Action:apex,fferpcore__MessagingActionDeliverNow,fferpcore__MessagingActionDeliverNow [ERP Integration],True
Vantage_Invoices,301Px000005eBLHIA2,4,AutoLaunchedFlow,Action:apex,VantageApiInvoiceLinesQuery,VantageApiInvoiceLinesQuery [Invoice Lines],True
Vantage_Invoices,301Px000005eBLHIA2,4,AutoLaunchedFlow,Action:apex,CalloutHelper,CalloutHelper [Vantage Authorisation],True
Vantage_Invoices,301Px000005eBLHIA2,4,AutoLaunchedFlow,Action:apex,VantageApiInvoiceQuery,VantageApiInvoiceQuery [Vantage Invoices],True
