"api_name","category"
"c2g__AvalaraVatReportingLog__c","custom"
"c2g__AvalaraVatReportingLog__ChangeEvent","standard"
"c2g__BackgroundMatchingSettings__c","custom"
"c2g__BackgroundMatchingSettings__ChangeEvent","standard"
"c2g__BackgroundPostingSettings__c","custom"
"c2g__BackgroundPostingSettings__ChangeEvent","standard"
"c2g__BankAccountAdjustment__c","custom"
"c2g__BankAccountAdjustment__ChangeEvent","standard"
"c2g__BankAccountAdjustment__Share","standard"
"c2g__BankAccountAdjustmentLineItem__c","custom"
"c2g__BankAccountAdjustmentLineItem__ChangeEvent","standard"
"c2g__BankAccountConnection__c","custom"
"c2g__BankAccountConnection__ChangeEvent","standard"
"c2g__BankAccountConnection__Share","standard"
"c2g__BankConnectionsLog__c","custom"
"c2g__BankConnectionsLog__ChangeEvent","standard"
"c2g__BankConnectionsLog__Share","standard"
"c2g__BankConnectionsLogDetails__c","custom"
"c2g__BankConnectionsLogDetails__ChangeEvent","standard"
"c2g__BankHolidays__c","custom"
"c2g__BankHolidays__ChangeEvent","standard"
"c2g__BankHolidays__Share","standard"
"c2g__BankReconciliationMatchingRule__c","custom"
"c2g__BankReconciliationMatchingRule__ChangeEvent","standard"
"c2g__BankReconciliationMatchingRule__Share","standard"
"c2g__BankReconciliationMatchingRuleFields__c","custom"
"c2g__BankReconciliationMatchingRuleFields__ChangeEvent","standard"
"c2g__BillingDocumentPostingSettings__c","custom"
"c2g__BillingDocumentPostingSettings__ChangeEvent","standard"
"c2g__BillingDocumentToSalesInvoice__c","custom"
"c2g__BillingDocumentToSalesInvoice__ChangeEvent","standard"
"c2g__BillingSettings__c","custom"
"c2g__BillingSettings__ChangeEvent","standard"
"c2g__BudgetsAndBalancesSettings__c","custom"
"c2g__BudgetsAndBalancesSettings__ChangeEvent","standard"
"c2g__BusinessActivityStatement__c","custom"
"c2g__BusinessActivityStatement__ChangeEvent","standard"
"c2g__BusinessActivityStatement__Share","standard"
"c2g__CancelPayment__c","custom"
"c2g__CancelPayment__ChangeEvent","standard"
"c2g__CancelPayment__Share","standard"
"c2g__CancelPaymentLog__c","custom"
"c2g__CancelPaymentLog__ChangeEvent","standard"
"c2g__CashMatchingAccountGroup__c","custom"
"c2g__CashMatchingAccountGroup__ChangeEvent","standard"
"c2g__CashMatchingAccountGroup__History","standard"
"c2g__CashMatchingAccountGroup__Share","standard"
"c2g__CashMatchingAccountGroupLineItem__c","custom"
"c2g__CashMatchingAccountGroupLineItem__ChangeEvent","standard"
"c2g__CashMatchingAccountGroupLineItem__History","standard"
"c2g__ChartOfAccountsMapping__c","custom"
"c2g__ChartOfAccountsMapping__ChangeEvent","standard"
"c2g__ChartOfAccountsMapping__Share","standard"
"c2g__ChartOfAccountsMappingHistory__c","custom"
"c2g__ChartOfAccountsMappingHistory__ChangeEvent","standard"
"c2g__ChartOfAccountsMappingHistory__Share","standard"
"c2g__ChartOfAccountsStructure__c","custom"
"c2g__ChartOfAccountsStructure__ChangeEvent","standard"
"c2g__ChartOfAccountsStructure__Share","standard"
"c2g__ClickJackingProtectionSetting__c","custom"
"c2g__ClickJackingProtectionSetting__ChangeEvent","standard"
"c2g__codaAccountingCurrency__c","custom"
"c2g__codaAccountingCurrency__ChangeEvent","standard"
"c2g__codaAccountingCurrency__History","standard"
"c2g__codaAccountingCurrency__Share","standard"
"c2g__codaAccountingSettings__c","custom"
"c2g__codaAccountingSettings__ChangeEvent","standard"
"c2g__codaAccountInUse__c","custom"
"c2g__codaAccountInUse__ChangeEvent","standard"
"c2g__codaAccountInUse__Share","standard"
"c2g__codaAgedAnalysisDef__c","custom"
"c2g__codaAgedAnalysisDef__ChangeEvent","standard"
"c2g__codaAgedAnalysisDef__History","standard"
"c2g__codaAgedAnalysisDef__Share","standard"
"c2g__codaBalanceUpdateResult__c","custom"
"c2g__codaBalanceUpdateResult__ChangeEvent","standard"
"c2g__codaBalanceUpdateResult__Share","standard"
"c2g__codaBankAccount__c","custom"
"c2g__codaBankAccount__ChangeEvent","standard"
"c2g__codaBankAccount__History","standard"
"c2g__codaBankAccount__Share","standard"
"c2g__codaBankReconciliation__c","custom"
"c2g__codaBankReconciliation__ChangeEvent","standard"
"c2g__codaBankReconciliation__Share","standard"
"c2g__codaBankReconciliationCharge__c","custom"
"c2g__codaBankReconciliationCharge__ChangeEvent","standard"
"c2g__codaBankReconciliationLineItem__c","custom"
"c2g__codaBankReconciliationLineItem__ChangeEvent","standard"
"c2g__codaBankStatement__c","custom"
"c2g__codaBankStatement__ChangeEvent","standard"
"c2g__codaBankStatement__Share","standard"
"c2g__codaBankStatementDefinition__c","custom"
"c2g__codaBankStatementDefinition__ChangeEvent","standard"
"c2g__codaBankStatementDefinition__Share","standard"
"c2g__codaBankStatementLineItem__c","custom"
"c2g__codaBankStatementLineItem__ChangeEvent","standard"
"c2g__codaBatchControl__c","custom"
