rank,flow_developer_name,score,process_type,version_number,trigger_object,trigger_type,entry_criteria_summary,decision_count,action_call_count,record_create_count,record_update_count,record_delete_count,record_lookup_count,external_candidate_touchpoint_count
141,Update_Location_At_Site,11,AutoLaunchedFlow,1,MACD_Line_Item__c,RecordAfterSave,(and) MACD_Type__c EqualTo Dispose,0,0,0,1,0,1,0
142,Processing_Complete,10,AutoLaunchedFlow,1,Field_Trip__Object_Analysis__c,RecordAfterSave,,0,1,0,0,0,0,0
143,Email_Stock_Receipts,10,AutoLaunchedFlow,1,SCMC__Receipt__c,RecordAfterSave,,0,1,0,0,0,0,0
144,Update_Contact_Active_Status,10,AutoLaunchedFlow,1,Contact,RecordAfterSave,,0,0,0,1,0,0,0
145,FFX_Contact,10,AutoLaunchedFlow,1,Contact,RecordAfterSave,,0,0,0,1,0,0,0
146,Capture_Meters_Screen,10,Flow,4,MACD_Line_Item__c,,,0,0,0,1,0,0,0
147,Opportunity_Compliance_Approval_Screen,9,Flow,5,,,,0,0,0,0,0,1,0
148,Sales_Order_Invoice_Checker,7,Flow,3,,,IssuesText IsBlank True,5,0,0,1,0,4,0
149,Opportunity_Parent_Child_Products_Generator,7,Flow,36,Product_Groups__c,,Add_Accessory_To_Parent_Toggle.value EqualTo True,22,0,9,4,0,23,0
150,Opportunity_Change_Asset_Generator,7,Flow,28,Product_Groups__c,,Get_Subproducts_Accessories IsNull False,22,0,12,6,0,28,0
151,Opportunity_Add_Products,7,Flow,1,Product_Groups__c,,Get_Accessories_Related_to_Product IsNull False,4,0,1,0,0,8,0
152,Delete_Commissions_Opp_Split,7,AutoLaunchedFlow,1,OpportunitySplit,RecordBeforeDelete,$Record.Opportunity.CloseDate LessThanOrEqualTo 2023-02-28,2,0,0,0,1,1,0
153,Complete_MACD_Sales_Order,7,AutoLaunchedFlow,3,,,$UserRole.Name EqualTo MACD Team; $UserRole.Name EqualTo Billing Team,1,0,0,2,0,1,0
154,Opportunity_Duplicate,6,Flow,2,,,,1,0,4,0,0,3,0
155,update_invoice_lines,4,AutoLaunchedFlow,1,SCMC__Invoice_Line_Item__c,Scheduled,(and) SCMC__Sales_Order_Line_Item__c IsNull false,1,0,0,1,0,1,0
156,creat_update_Commissions,4,AutoLaunchedFlow,16,Commission_Payment__c,,CommissionPayment.Paid_Date__c IsNull False; CommissionPayment.SalesOrder__c IsNull True,4,0,3,6,0,2,0
157,Update_Sales_Order,4,Flow,17,,,Select_an_Action EqualTo Add_Product,2,0,5,3,0,8,0
158,Technical_Approval,4,Flow,1,,,Technically_Approve_Deal EqualTo Approve; Approve_Deal EqualTo Approve,4,0,4,1,0,1,0
159,Populate_Department_Opp_Split,4,AutoLaunchedFlow,3,OpportunitySplit,RecordAfterSave,$Record.Department__c IsNull True,1,0,0,1,0,0,0
160,Invoice_Line_Check,4,Flow,8,,,LoopGetLines.RecordType.Name EqualTo Drop Ship; LoopGetLines.SCMC__Purchase_Order_Line_Item__c IsNull True; LoopGetLines.RecordType.Name EqualTo Item,6,0,0,0,0,7,0
161,ION_Update_Invoice_Line,4,AutoLaunchedFlow,1,,,RecordTypeName EqualTo Miscellaneous; RecordTypeName EqualTo Freight,1,0,0,1,0,4,0
162,FFXSCM_Update_JE_Date_for_SCM_Invoice_Drop_Ship_Void,4,AutoLaunchedFlow,1,c2g__codaJournal__c,RecordBeforeSave,(and) c2g__Type__c EqualTo SCM Drop Ship Journal; SCMFFA__SCM_Perpetual_Transaction__c IsNull false,1,0,0,1,0,0,0
163,FFA_Sales_Invoice_Line_Item_to_ITPR_trigger,4,AutoLaunchedFlow,2,c2g__codaInvoiceLineItem__c,RecordAfterSave,(and) SCMFFA__SCM_Invoice_Line__c IsNull false,1,0,0,1,0,2,0
164,Display_Past_Opp_Products,4,Flow,1,,,Select_what_to_see EqualTo Assets,1,0,0,0,0,4,0
165,Commission_Other_Transactions,4,AutoLaunchedFlow,1,Commission_Payment__c,,Loop_References.c2g__TransactionLineItem__r.Plain_Document_Number__c Contains SIN,1,0,0,0,0,0,0
166,Commission_Assign_Plan,4,AutoLaunchedFlow,2,Commission_Payment_Plans__c,,userCount GreaterThan 0; divisionCount GreaterThan 0,1,0,0,0,0,0,0
167,Agilyx_AP_Voucher_to_Payable_Invoice,4,Flow,1,,,Loop_AP_Voucher_Lines_Collection.RecordType.DeveloperName EqualTo Item; Loop_AP_Voucher_Lines_Collection.SCMC__Purchase_Order_Line_Item__c IsNull False; Loop_AP_Voucher_Lines_Collection.SCMC__Purchase_Order_Line_Item__r.SCMFFA__General_Ledger_Account__c IsN...,2,0,3,2,0,5,0
168,Update_Sales_Order_Line,3,AutoLaunchedFlow,1,,,,0,0,0,1,0,2,0
169,Sales_Invoice_Set_Customer_Price,3,AutoLaunchedFlow,1,c2g__codaInvoiceLineItem__c,RecordAfterSave,,0,0,0,1,0,0,0
170,MACD_Meter_Reading_Screen,3,Flow,1,,,,0,0,0,1,0,1,0
171,ION_UpdateOppWithSORecType,3,AutoLaunchedFlow,1,,,,0,0,0,1,0,2,0
172,ION_UpdateOppProduct,3,AutoLaunchedFlow,1,,,,0,0,0,1,0,2,0
173,ION_Sales_Order_Update,3,AutoLaunchedFlow,1,,,,0,0,0,1,0,4,0
174,ION_AddCompanyToBillingDocument,3,AutoLaunchedFlow,1,,,,0,0,0,1,0,4,0
175,Update_the_Quote_trading_company_if_missing,1,AutoLaunchedFlow,2,Quote,RecordBeforeSave,(and) Trading_Company__c IsNull true; Opportunity_ERP_Company__c NotEqualTo,0,0,0,0,0,1,0
176,Update_Task_Contact,1,AutoLaunchedFlow,3,Task,RecordBeforeSave,Get_Contact IsNull False; Get_Lead IsNull False,1,0,0,0,0,2,0
177,Update_Quote_Fields,1,AutoLaunchedFlow,4,Quote,RecordAfterSave,(and) ExpirationDate IsNull true,0,0,0,1,0,0,0
178,Update_Product_Codes,1,AutoLaunchedFlow,9,Product2,RecordAfterSave,(or) Product_Category__c IsNull false; Product_Category__c IsChanged true,0,0,0,3,0,4,0
179,Update_Product_Association,1,Flow,5,,,Action_to_Perform EqualTo Add_Association,2,0,1,0,1,4,0
180,Update_Product_Approver,1,AutoLaunchedFlow,1,Product2,RecordAfterSave,(and) Approval_Status__c IsChanged true; Approval_Status__c EqualTo Approved,0,0,0,1,0,0,0
181,Update_Child_Assets_With_Serial_Number_From_Parent,1,AutoLaunchedFlow,1,Asset,RecordAfterSave,(and) SerialNumber NotEqualTo,0,0,0,1,0,0,0
182,Trigger_Update_SO,1,AutoLaunchedFlow,4,,,documents Contains Loop_Opp_Files_Found.ContentDocumentId,2,0,1,0,0,3,0
183,Tasks_Remove_Call_Recording_Link,1,AutoLaunchedFlow,2,Task,RecordAfterSave,$Record.Description Contains Call recording:,1,0,0,1,0,0,0
184,Singular_Store_Asset,1,Flow,14,,,Update_Asset_Name EqualTo Yes,3,0,5,3,0,1,0
185,Singular_Asset_Move,1,Flow,14,,,Update_Asset_Name EqualTo Yes,4,0,6,3,0,3,0
186,Singular_Asset_Dispose,1,Flow,23,,,Get_Asset_Information.Product2.Product_Category__r.Business_Service__c EqualTo Print,3,0,8,2,0,6,0
187,Set_Inventory_Position_Cost,1,AutoLaunchedFlow,1,SCMC__Inventory_Position__c,RecordAfterSave,(and) SCMC__Receipt_Line__c IsNull false,1,0,0,1,0,0,0
188,Sales_Account_Search_Sub_Flow_Get_Records,1,AutoLaunchedFlow,2,,,Select_Type_of_Search_Choice EqualTo Account Name; Select_Type_of_Search_Choice EqualTo Company Number,1,0,0,0,0,2,0
189,SCM_ITPR_Export_Delay_Trigger,1,AutoLaunchedFlow,1,SCMC__Inventory_Transaction_Perpetual_Record__c,RecordAfterSave,(and) SCMC__Inventory_Transactions__c EqualTo Issue Customer Items Pick-list; SCMFFA__FF_Journal__c IsNull true; SCMC__Sales_Order_Line_Item__c IsNull false,0,0,0,1,0,0,0
190,Product_Grouping_Check,1,AutoLaunchedFlow,2,,,productType EqualTo Accessory,1,0,0,0,0,4,0
191,Product_Group_Name_Updater,1,AutoLaunchedFlow,1,Product_Groups__c,RecordAfterSave,(and) Sub_Product__c IsNull false,1,0,0,1,0,1,0
192,Product_Duplicate_Checker,1,AutoLaunchedFlow,1,,,Get_Product IsNull False,2,0,0,0,0,2,0
193,Journal_Line_Item_PrePaid_Description,1,AutoLaunchedFlow,1,c2g__codaJournalLineItem__c,RecordBeforeSave,(and) c2g__LineDescription__c IsNull true; Prepaid_Description__c IsNull false,0,0,0,0,0,0,0
194,General_intelligence_Update,1,Flow,1,,,Get_Intel_Record IsNull True,4,0,1,1,0,1,0
195,FFX_FAM_Fixed_Asset_Disposal,1,Flow,1,,,Get_Asset.FAM__Status__c EqualTo Active,3,0,4,2,0,4,0
196,FFX_FAMInheritBookAndMethod,1,AutoLaunchedFlow,1,,,varSourceDepreciationBookID IsNull False,5,0,2,0,0,8,0
